이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,차량구분,구매한 제품,친환경차,제품 구매 날짜,거래 금액,거래 방식,제품 구매 빈도,제품 구매 경로,제품 출시년월,지역,고객 세그먼트
John Brown,1977-05-17,48,남,931-210-8110,uruiz@johnson.info,"687 Heather Mall, Pughhaven, NY 39606",mackenziehurley,2024-02-02,준대형 SUV,KX5,False,2024-10-07,66901836,신용카드,1,온라인,2021-09,미국,0
Robert Brown,1966-06-16,59,남,+1-833-812-7249x014,kevin93@bennett-howell.org,"384 Brittany Via Apt. 725, North Lorimouth, IN 87814",adriana96,2022-11-23,소형 해치백,Seltos,False,2022-12-20,60930821,현금,1,온라인,2018-11,미국,0
Daniel Johnson,1966-08-24,59,여,230.201.9268,brucetravis@hotmail.com,"5051 Margaret Mountain Suite 142, Moodyberg, ME 30203",wsimpson,2022-04-04,준대형 SUV,Sorento,False,2023-05-08,64556403,신용카드,2,오프라인,2018-05,미국,0
Emily Taylor,1970-05-10,55,남,080-026-4913,hgreen@hotmail.com,"2527 Garner Course Suite 791, West Kimberlymouth, MI 54251",paul37,2023-02-01,소형 해치백,C'eed CUV,False,2024-03-06,62079278,현금,2,오프라인,2018-11,미국,0
Emily Smith,1977-04-11,48,남,889-190-0002x4201,ymurray@price.com,"8744 Colton Street Suite 842, South Teresaburgh, NM 33727",christianmckinney,2023-05-03,중형 SUV,Carnival,False,2023-06-14,50594958,계좌이체,1,오프라인,2020-02,미국,0
John Wilson,1983-10-17,42,여,891.367.1616x8498,patrickyoung@watts.com,"509 Allen Track Apt. 309, Williamshaven, VT 36407",reneepayne,2022-11-28,준중형 세단,Telluride,False,2025-01-06,20907477,신용카드,2,오프라인,2018-03,미국,3
David Taylor,1968-04-17,57,남,973-444-6346x4749,ashley31@gmail.com,"21815 Pace Place Apt. 236, Cruzhaven, OH 23185",eddiemcmillan,2022-09-04,준대형 세단,K2,False,2022-12-24,35314131,신용카드,3,오프라인,2023-03,미국,2
Emily Anderson,1981-01-05,44,여,+1-952-254-9457x03176,cardenaslori@lewis.info,"1423 Howard Harbor, Erinstad, SD 16551",omalone,2024-12-21,픽업트럭,KX3,False,2025-01-27,29746428,계좌이체,3,온라인,2020-07,미국,2
David Brown,1964-08-03,61,남,654-876-5781,fishersarah@yahoo.com,"2864 Charles Forge, Brownville, CO 40348",kpruitt,2022-12-25,준중형 해치백,Rio(pride),False,2023-07-07,32321579,계좌이체,3,온라인,2021-03,미국,2
Emma White,1983-07-29,42,남,319-651-6441x80540,jessica80@alvarado.info,"199 Michelle Ridges Suite 989, Murphyshire, CO 30144",garcianicole,2022-05-04,준중형 세단,EV6,True,2025-02-27,52657090,계좌이체,1,온라인,2020-01,미국,0
Daniel Thomas,1999-11-12,26,여,815.749.1671x656,lowealicia@yahoo.com,"68203 Thomas Path Suite 794, North Mollymouth, LA 92190",estradashelby,2023-12-10,준대형 세단,Seltos,False,2025-01-12,43023647,계좌이체,1,온라인,2022-03,미국,3
Michael Wilson,1987-05-19,38,여,188-116-7873,hansenluke@hotmail.com,"7571 Duncan Highway Apt. 231, Port Jessica, TX 50960",chloemaxwell,2023-11-15,준중형 SUV,Forte,False,2025-02-13,41402214,현금,1,오프라인,2020-06,미국,3
Daniel Johnson,1987-08-30,38,남,139.570.0168x451,jessicawilkerson@thompson.info,"38147 Meza Center, Aaronfurt, UT 24614",kthomas,2022-12-05,중형 세단,K4,False,2023-07-26,30744454,신용카드,3,오프라인,2019-01,미국,2
Laura Thomas,1988-01-12,37,여,001-953-762-1098x53272,laurawilliams@yahoo.com,"059 Lewis Brook Apt. 753, Rowestad, UT 08464",adammorales,2022-11-01,준중형 SUV,C'eed CUV,False,2025-03-25,20437015,계좌이체,3,온라인,2022-04,미국,2
John Anderson,1981-12-18,44,여,170.496.7294x27919,nvelez@benson-mills.com,"02888 Veronica Prairie Suite 970, Alvarezland, TN 22546",gina44,2023-04-21,준중형 SUV,Accent (HC),False,2023-06-27,55814940,현금,3,오프라인,2019-11,미국,1
Michael Wilson,1967-04-09,58,남,(993)210-3674,chapmanyolanda@morrow-estrada.com,"831 Sherry Circle, Port Joshua, NH 14216",mackenzie83,2022-06-04,준중형 SUV,Carnival (CKD),False,2023-10-30,51430852,신용카드,2,오프라인,2019-12,미국,0
Emily Brown,1985-02-24,40,남,(082)759-8685x819,william46@hotmail.com,"32864 Lisa Branch, Rickmouth, UT 97266",ycarter,2023-10-14,준대형 SUV,KX7,False,2024-12-09,43132661,계좌이체,2,온라인,2023-02,미국,3
Robert White,1984-07-21,41,남,6612450116,mooredana@horn.com,"6210 Bishop Stravenue, South Jessica, MS 74032",taylor02,2022-06-12,준대형 세단,EV6,True,2024-01-22,25136734,현금,2,오프라인,2018-05,미국,3
David Johnson,1977-07-05,48,남,410-924-4329,adam56@hotmail.com,"96172 Moody Trace Suite 273, New Michelleshire, AZ 57401",parkerpaul,2022-04-26,대형 세단,Carens MPV,False,2023-03-19,32021651,현금,1,온라인,2018-09,미국,3
Robert Wilson,1994-05-21,31,여,457-199-1673x4214,garciaangel@grant.biz,"290 Brown Path Apt. 942, Wilsonbury, KS 19241",tracy64,2025-01-27,소형 해치백,Accent (HC),False,2025-03-23,49351685,현금,3,오프라인,2022-10,미국,1
Jessica Taylor,1973-05-06,52,남,(257)164-0048,josephadams@hotmail.com,"4663 Miller Parkway Apt. 120, Clarkstad, MI 83949",mharvey,2024-03-26,중형 SUV,KX7,False,2024-07-26,49660870,계좌이체,3,온라인,2022-05,미국,1
Emily Davis,1991-10-16,34,여,564.667.6674x913,longbreanna@hotmail.com,"USS Lewis, FPO AA 19088",danielchaney,2023-05-02,준중형 세단,Sonet,False,2024-11-29,44652304,신용카드,2,오프라인,2019-07,미국,0
David Johnson,1988-04-11,37,여,244.214.6100,leslieoliver@gmail.com,"836 Jones Highway, Perkinsmouth, TN 11721",timothygomez,2024-11-17,대형 세단,Carnival (CKD),False,2025-02-13,62277671,현금,1,온라인,2021-09,미국,0
Jessica Davis,1966-07-03,59,여,5783410807,schmittbrittany@gmail.com,"4513 Rowland Camp, Lake Holly, ME 23472",haleywilliams,2025-02-15,준중형 세단,Rio(pride),False,2025-03-14,19575596,현금,4,오프라인,2020-10,미국,2
Emily Taylor,1986-11-18,39,남,001-503-121-5595,robinjones@hotmail.com,"5536 David Corners Apt. 703, New Bradley, FL 91447",james36,2022-07-18,준대형 SUV,Sportage,False,2023-10-06,62102066,신용카드,2,오프라인,2021-05,미국,0
Jessica Brown,1982-06-14,43,여,001-917-921-6514x811,priscilla68@clements-gray.com,"21538 Bell Way Apt. 559, Mcintoshbury, ID 87557",hernandezjames,2022-07-24,대형 SUV,Sorento,False,2023-05-06,40934044,계좌이체,4,오프라인,2021-04,미국,2
Emma Wilson,1985-05-12,40,여,466.629.1362,jeremy44@hines.com,"1205 Carlson Haven Suite 753, South Rebecca, NJ 39328",morsemelissa,2023-01-18,중형 SUV,EV6,True,2024-08-13,65202189,신용카드,1,오프라인,2018-05,미국,0
Robert Moore,1980-04-11,45,여,369.417.5180,yalvarado@nichols-rogers.com,"686 Donald Springs, Katrinafort, AL 44812",mendozajamie,2025-03-26,중형 SUV,KX7,False,2025-03-30,65992560,계좌이체,1,오프라인,2022-04,미국,0
Sarah White,1968-06-14,57,남,294.856.3666x7313,hannahsanders@gmail.com,"4701 Hunter Heights Apt. 593, New Jordan, NV 22807",reneepatel,2024-06-02,중형 SUV,K5,False,2024-07-18,52698471,계좌이체,2,온라인,2019-02,미국,0
Sarah Wilson,1988-02-23,37,남,(596)040-2874x47706,harrismatthew@hotmail.com,"Unit 2992 Box 4423, DPO AA 06322",tpayne,2023-02-28,소형 해치백,EV6,True,2024-10-08,27743111,계좌이체,2,온라인,2019-10,미국,3
Sarah Moore,1981-02-08,44,여,001-396-062-6382,greenebrenda@nielsen-mcgee.info,"6031 Gordon Views Suite 592, Harperport, DE 83237",catherinegutierrez,2023-08-13,소형 해치백,C'eed,False,2024-03-21,24187999,신용카드,3,오프라인,2021-09,미국,2
Sarah Moore,1999-08-11,26,여,(771)959-1199,poolejeremy@yahoo.com,"2911 Roy Cape Apt. 470, East Christopher, WY 49916",ruizdouglas,2024-06-03,준중형 세단,Seltos,False,2025-01-01,65498910,계좌이체,1,오프라인,2021-02,미국,0
David Thomas,1973-05-02,52,여,+1-844-271-8045x59128,martincynthia@hotmail.com,"Unit 4475 Box 6365, DPO AE 66522",kristenharrison,2023-07-14,준대형 SUV,Sorento,False,2024-07-04,50021496,신용카드,1,온라인,2019-10,미국,0
Sarah Smith,1967-02-13,58,남,001-237-125-0682x120,wyatt39@barrett.com,"245 Joseph Lakes Suite 897, East Lori, PA 08810",kimberly52,2022-12-19,준중형 세단,Carens MPV,False,2023-08-18,20799554,현금,1,온라인,2018-01,미국,3
Sarah Johnson,1994-02-10,31,남,025.984.5855x4220,jessica87@gmail.com,"98967 John Lakes, South Anthony, NE 98329",dustinwilliams,2024-11-28,준대형 SUV,KX7,False,2024-12-12,41701585,현금,2,오프라인,2020-10,미국,3
John Johnson,1994-03-21,31,남,955-763-2951,wmartinez@hotmail.com,"8637 Velasquez Center Apt. 036, Sanchezhaven, TN 92999",andersoncourtney,2024-03-06,준중형 세단,Forte,False,2024-06-04,45509885,계좌이체,3,온라인,2019-09,미국,1
Emily Smith,1995-04-21,30,여,840-531-8865x85228,cgross@gmail.com,"03410 Glenn Underpass Apt. 870, West Christopher, OR 77605",emily97,2023-05-05,대형 세단,Pegas,False,2024-01-23,65893594,신용카드,1,오프라인,2021-10,미국,0
Emily Davis,1965-04-10,60,남,9706440712,laurendonaldson@gmail.com,"524 Kylie Mill Apt. 015, North Jermainetown, NY 85967",brookelee,2022-07-24,준대형 세단,Syros,False,2024-05-27,31946438,현금,3,온라인,2018-01,미국,2
John Johnson,1986-03-31,39,여,+1-152-234-5089x6071,xhodge@reyes-mcdonald.net,"60506 Johnson Court Apt. 832, Andrewville, LA 95547",billy90,2023-05-29,소형 해치백,Sonet,False,2023-11-02,55829984,신용카드,3,오프라인,2023-08,미국,1
John Brown,1999-05-16,26,남,001-353-173-2461,eric41@gmail.com,"48126 Morgan Lights Suite 835, South John, VA 85700",ifrench,2023-08-16,중형 세단,Cerato,False,2024-06-27,22426530,현금,1,온라인,2021-11,미국,3
Michael Anderson,1966-01-28,59,남,001-694-568-4709x319,lbradley@yahoo.com,"39449 Jensen Avenue, Pearsonside, MA 60082",john02,2023-03-29,중형 SUV,C'eed,False,2023-05-13,44813939,현금,1,온라인,2021-07,미국,0
Emma Taylor,1996-12-06,29,남,146.502.8601x1837,johnsoncharles@hotmail.com,"378 Daniel Cape, Stephenhaven, SD 35587",helen44,2023-08-03,중형 SUV,KX1,False,2024-01-28,66992021,현금,1,온라인,2022-03,미국,0
Emily Thomas,1973-05-17,52,여,(672)119-5110x945,wgomez@bowman.com,"00088 May Hills Apt. 437, Martinburgh, MN 43221",umccormick,2025-02-26,대형 SUV,Optima / K5,False,2025-03-07,48354916,신용카드,2,오프라인,2018-01,미국,0
John Moore,1969-07-26,56,남,001-493-548-8107x32761,sethruiz@davis.com,"375 Jared Plains Suite 151, Autumnton, AK 65365",sandra67,2022-10-25,중형 세단,KX3,False,2023-10-13,47641113,계좌이체,1,오프라인,2022-07,미국,0
Jessica Taylor,1995-06-03,30,남,001-988-118-8210x76059,amanda70@yahoo.com,"776 Mendoza Gateway, Port Nathaniel, OR 51925",fjohnson,2022-04-11,준대형 세단,Carens MPV,False,2023-01-09,47214992,신용카드,1,온라인,2019-10,미국,0
Laura Davis,1996-03-13,29,남,723.805.7121,ywhite@hotmail.com,"PSC 8273, Box 4289, APO AE 86185",george85,2025-02-28,대형 SUV,Optima / K5,False,2025-03-14,46724283,현금,1,온라인,2021-04,미국,0
Michael Thomas,1984-01-08,41,여,(068)895-8993x2191,jessicamorse@martinez-mendoza.com,"Unit 4856 Box 4504, DPO AA 54855",jonathangates,2023-07-24,준대형 SUV,Sonet,False,2025-01-06,57862729,신용카드,1,온라인,2020-01,미국,0
Daniel Smith,1984-01-23,41,여,631-664-1700,jefferywillis@bray-andrade.com,"06605 Heather Plain, Roberttown, DC 95451",burtonbrett,2024-05-26,준중형 해치백,Sorento,False,2024-12-06,34302563,신용카드,1,오프라인,2021-07,미국,3
Emily Anderson,1965-01-15,60,남,242.075.3087x722,zhampton@yahoo.com,"601 Klein Cape Suite 854, Lake Kellyfurt, CA 57736",lfrench,2022-12-17,준대형 세단,Cerato,False,2023-06-06,40474397,현금,3,온라인,2021-12,미국,2
John Brown,1973-12-22,52,여,195.261.7186x709,michelereeves@yahoo.com,"64854 Miller Forges, Lake Mark, UT 77181",jclark,2022-08-17,픽업트럭,EV5,True,2023-08-06,46781168,신용카드,1,온라인,2023-07,미국,0
Michael White,1965-06-24,60,남,4362569153,cooperkristin@walls.biz,"46610 Austin Spur Apt. 958, Port Nicholashaven, ID 94303",audreyweaver,2023-08-16,중형 SUV,Zhipao,False,2024-01-12,40568033,신용카드,3,온라인,2021-08,미국,2
David Wilson,1993-05-12,32,여,(145)018-1878x5037,pauljones@yahoo.com,"618 David Circles, Lisaburgh, FL 11081",krystallewis,2024-03-06,중형 세단,Sorento,False,2024-08-13,48074385,현금,2,온라인,2022-07,미국,0
Emily Moore,1965-06-01,60,여,6032897957,dnewton@graham-harmon.com,"945 Anthony Crossroad, Chelseaview, AL 25802",lcruz,2023-07-08,소형 해치백,Syros,False,2024-12-28,33058702,현금,4,오프라인,2018-07,미국,2
Robert Thomas,1969-08-30,56,여,309.845.5225,susan94@gmail.com,"41363 Michael Island Suite 133, Lake Jason, NE 13547",danielmartinez,2025-01-13,중형 세단,KX5,False,2025-03-21,50853294,계좌이체,4,오프라인,2022-07,미국,1
Jessica Thomas,1980-11-09,45,남,236.790.8213x5221,garciabrenda@dunn.info,"30913 Crystal Rest, Shorttown, AK 99871",annarussell,2025-01-25,준중형 세단,EV9,True,2025-03-15,29208769,현금,3,오프라인,2018-01,미국,2
John Davis,1972-04-16,53,여,+1-143-358-6283,coxamy@yahoo.com,"076 Carroll Fall Suite 464, Ericborough, MI 75851",rnelson,2022-05-13,준중형 세단,Tucson(NX4),False,2024-11-04,19590348,신용카드,1,온라인,2022-06,미국,3
Emma Anderson,1976-11-20,49,남,+1-702-907-5422x48980,steven89@rowe.com,"9658 Butler Pine, West Brianbury, KY 71119",paige45,2023-04-10,대형 SUV,Telluride,False,2024-03-02,34363932,현금,1,오프라인,2020-02,미국,3
Sarah Anderson,1995-03-10,30,남,001-326-334-5708,dorseymichael@gray.com,"5849 Alicia Rest Suite 710, Williamsville, KS 02359",garrettlewis,2024-12-19,대형 세단,Cerato,False,2025-02-22,26579859,계좌이체,1,온라인,2022-08,미국,3
Michael Wilson,1992-09-04,33,남,6585522950,jason04@hotmail.com,"618 Tyler Islands Suite 576, South Denise, NE 78935",reidrhonda,2024-09-18,준중형 해치백,KX5,False,2025-01-23,54694800,현금,1,오프라인,2021-07,미국,0
John White,1996-08-31,29,남,036.590.7746,jason40@hotmail.com,"55501 Jamie Via Suite 317, Lake Tommy, RI 55861",colinpetty,2023-10-05,준중형 세단,EV6,True,2024-04-04,43426076,계좌이체,3,온라인,2022-01,미국,1
Jessica Brown,1981-10-03,44,남,2610158526,jaredmiller@park-gibbs.com,"2054 Andrew Square Apt. 186, Goldenburgh, GA 52836",juliawilliams,2024-05-30,대형 SUV,Carnival (CKD),False,2024-12-27,26667833,계좌이체,1,온라인,2018-03,미국,3
David Davis,1970-07-01,55,남,977-418-1827x1513,alicia88@owens.com,"3571 Walsh Trace Apt. 547, Port Steven, NH 15055",mary72,2024-02-25,대형 세단,K4,False,2024-09-17,58167405,계좌이체,1,오프라인,2022-02,미국,0
Emily Taylor,1995-03-25,30,남,+1-319-807-1233x678,jenniferrivera@giles-hines.com,"0414 Lowery Plains Suite 136, Jamesbury, OK 99073",rossdavid,2024-05-24,준대형 SUV,K4,False,2024-11-17,26349420,계좌이체,1,오프라인,2022-11,미국,3
Michael Johnson,1994-12-27,31,여,548-400-4210x99798,arussell@gmail.com,"667 Lynn Port Apt. 783, Littleton, WI 92787",mperkins,2022-06-03,준대형 SUV,Syros,False,2024-10-30,61677179,계좌이체,1,오프라인,2018-08,미국,0
Jessica Thomas,1997-05-18,28,남,001-892-079-8338x1013,juanhunter@gmail.com,"264 Olson Well Suite 563, East Shari, WA 43615",diazdeborah,2024-03-24,중형 SUV,Zhipao,False,2025-01-04,24220331,계좌이체,1,온라인,2023-02,미국,3
Emma Johnson,1999-10-17,26,여,488.059.5474x20028,kevincowan@chavez.com,"88013 Cline Fall Suite 928, Margaretshire, PA 55455",travis85,2023-03-29,준대형 세단,EV9,True,2024-07-28,68374117,현금,1,오프라인,2019-06,미국,0
Robert Taylor,1995-12-01,30,남,122-072-1598x05602,josephpearson@jackson.com,"8006 Smith Spur, Ramirezberg, IN 73949",mark07,2024-11-29,대형 SUV,Carnival,False,2025-03-22,43237892,계좌이체,1,온라인,2023-05,미국,3
Emily Brown,1977-02-05,48,남,(008)224-4913,abridges@watson.com,"4064 Nicholas Coves, New Derekburgh, DE 29906",julieray,2022-07-04,준대형 세단,Accent (HC),False,2022-11-02,26860569,신용카드,4,오프라인,2021-07,미국,2
John Moore,1965-12-25,60,남,(323)213-9928,campbelljacob@gmail.com,"14916 Brian Trace, New Mackenzieshire, IN 89964",tamarasmith,2024-11-03,대형 세단,KX3,False,2025-02-04,27133572,계좌이체,2,온라인,2021-12,미국,3
John Johnson,1998-06-08,27,남,+1-428-143-5194x1997,brussell@rodriguez.com,"16701 Rodriguez Alley Suite 882, South Josestad, FL 85389",sotochristina,2023-01-17,준중형 SUV,Cerato,False,2023-10-18,68332269,신용카드,1,오프라인,2020-06,미국,0
Daniel Wilson,1997-11-30,28,여,652.939.7252,nicholas67@moran.com,"PSC 2794, Box 4013, APO AE 46134",zanderson,2023-02-08,중형 세단,K3,False,2024-02-28,43325967,계좌이체,1,온라인,2021-06,미국,3
Daniel Anderson,1975-06-25,50,여,970-730-6868x8786,sheribryan@chambers.com,"0402 Christensen Meadow Suite 845, North Luischester, SD 17540",matthewfernandez,2024-06-13,중형 세단,Seltos,False,2024-07-27,23270600,신용카드,2,오프라인,2021-11,미국,3
John Smith,1965-06-18,60,여,(045)982-7814x70564,bridgesdustin@gmail.com,"3345 James Hills, North Cheryl, MT 79322",pwagner,2023-01-31,준대형 SUV,KX1,False,2023-12-22,60021956,신용카드,1,온라인,2021-02,미국,0
Daniel Smith,1972-04-07,53,남,2085205645,jonathanwilliams@aguirre.com,"439 Hahn Glen Suite 492, New Nathanmouth, KY 79483",whitealicia,2022-07-21,소형 해치백,Zhipao,False,2022-12-20,22774584,현금,3,온라인,2019-10,미국,2
Robert Wilson,1995-01-20,30,남,001-949-442-2832x995,eric96@hotmail.com,"550 Compton Place Suite 416, New Angela, NY 88362",smithjennifer,2023-09-04,중형 세단,Forte,False,2025-03-16,35008401,신용카드,1,오프라인,2018-10,미국,3
Emma Johnson,1975-03-10,50,남,(121)189-4623x116,maria56@gmail.com,"00433 Carpenter Well Apt. 156, Alexanderstad, WV 43691",fbradley,2023-05-16,대형 SUV,K5,False,2024-03-13,43815318,신용카드,4,오프라인,2020-03,미국,1
Sarah Davis,1994-05-24,31,여,592.839.6257,isabel61@yahoo.com,"PSC 5665, Box 7640, APO AA 28370",patrickpeterson,2023-11-29,준중형 세단,Accent (HC),False,2024-02-25,29930070,현금,4,온라인,2020-06,미국,2
Jessica Taylor,1994-09-15,31,여,106-967-9693,patricia62@collins.biz,"515 Lopez Pine, South Carmen, NV 59134",chad33,2025-03-21,준중형 세단,Forte,False,2025-03-24,60009523,신용카드,3,오프라인,2023-02,미국,1
John Johnson,1992-06-19,33,여,001-010-786-7605x3450,sarah16@stevenson.com,"618 Reyes Plaza, Bennetthaven, MN 59720",ztorres,2022-05-09,중형 세단,Rio(pride),False,2023-03-21,60212408,계좌이체,4,오프라인,2022-08,미국,1
Michael Brown,1989-10-27,36,여,242.866.2271,bryantrobert@gould.com,"Unit 0607 Box 2772, DPO AP 26095",cbrooks,2023-12-31,대형 SUV,Telluride,False,2024-02-27,56835595,현금,2,오프라인,2020-02,미국,0
Robert Davis,1981-11-10,44,여,665.716.4022x612,michelle94@acosta-thompson.com,"6482 Davis Union, North Bethmouth, SD 63195",stuartjohn,2024-06-14,준대형 세단,Optima / K5,False,2025-02-16,24831193,신용카드,4,온라인,2020-04,미국,2
John Taylor,1965-05-25,60,남,033.156.6705x3308,greenejames@hotmail.com,"624 Butler Ports Apt. 103, New Marieshire, MI 69696",slewis,2025-01-12,대형 세단,K4,False,2025-03-27,47751045,계좌이체,1,오프라인,2021-05,미국,0
Daniel Johnson,1966-03-03,59,남,044-161-6613x063,alicia39@yahoo.com,"8088 Leonard Shoal, Jacobsonshire, VT 93767",tward,2023-04-28,준대형 SUV,Syros,False,2024-12-25,63238322,현금,3,오프라인,2019-01,미국,1
Emma Thomas,1967-11-20,58,여,(493)871-3899,ocarroll@caldwell-avila.com,"905 Meadows Flats Apt. 199, Davidland, KY 92269",laura78,2022-12-20,준중형 세단,Carens MPV,False,2024-03-22,48184837,계좌이체,4,온라인,2023-10,미국,1
Jessica Johnson,1989-04-09,36,여,001-663-630-5128x1637,natashamcpherson@gmail.com,"568 Preston Track, Sethton, DE 43656",skinnerjohn,2023-02-11,중형 세단,Zhipao,False,2023-08-15,27720329,신용카드,2,오프라인,2020-07,미국,3
Laura Davis,1993-05-26,32,여,(923)562-1343,susan12@preston.info,"38606 Alyssa Mission, Port Elizabeth, NV 04856",tonyawood,2023-07-25,준중형 세단,Carens MPV,False,2025-01-09,50798715,신용카드,1,온라인,2018-04,미국,0
David Johnson,1986-07-10,39,남,001-310-769-0700x96089,otorres@hotmail.com,"PSC 9345, Box 7161, APO AA 85737",yclark,2022-04-29,소형 해치백,Sorento,False,2024-01-22,54157608,신용카드,1,오프라인,2019-01,미국,0
Sarah Moore,1969-10-06,56,남,1323123036,ronaldcampbell@gmail.com,"Unit 0816 Box 9035, DPO AE 27666",tara06,2022-11-12,준중형 해치백,Sonet,False,2025-01-08,37487744,현금,2,온라인,2022-01,미국,3
Emily Brown,1987-08-13,38,남,001-804-248-5116x8839,linatalie@schultz.net,"34667 Randolph Locks Apt. 930, Lake Tracyfort, IA 66701",snorton,2024-01-31,중형 SUV,Carens MPV,False,2024-08-26,38203398,계좌이체,2,온라인,2018-08,미국,3
Daniel Wilson,1980-01-18,45,남,508.825.7044x55428,cynthia87@king.com,"4794 Adam Crest, Carsonside, WI 94282",trichardson,2023-03-07,준대형 세단,Optima / K5,False,2024-05-25,27581572,계좌이체,3,오프라인,2018-02,미국,2
David Davis,1979-11-08,46,남,+1-985-676-0042x70983,kelly89@yahoo.com,"053 Hall Mills, Lake Paulhaven, KS 58704",coopergina,2025-03-26,준대형 SUV,K2,False,2025-03-27,33955272,계좌이체,2,오프라인,2021-10,미국,3
Emma Brown,1981-04-14,44,여,(292)582-4914x808,mark21@hotmail.com,"05876 Aguirre Stream, Leahland, KY 11349",fmorris,2022-07-06,소형 해치백,Sonet,False,2023-08-14,29895110,신용카드,3,온라인,2022-11,미국,2
Emily Anderson,1971-04-21,54,남,+1-787-410-5663x26246,whitekatrina@vega.biz,"7866 Stevens Forest, Robersontown, FL 13143",littlejennifer,2023-06-04,준대형 SUV,EV6,True,2024-02-08,19763821,계좌이체,4,오프라인,2020-07,미국,2
Laura Taylor,1993-06-22,32,여,547-998-4418,georgerobert@gmail.com,"628 William Forges Suite 105, Smithburgh, IN 90967",hilljean,2023-04-16,중형 세단,Rio(pride),False,2023-08-12,35604952,현금,1,오프라인,2022-08,미국,3
Jessica Smith,1997-08-22,28,남,(243)758-1162,nellison@hotmail.com,"85114 Alexander Village Apt. 631, Christinaborough, AR 78347",vthomas,2024-03-21,대형 세단,Zhipao,False,2024-10-05,62807788,계좌이체,2,오프라인,2023-09,미국,0
Emily Davis,1991-02-01,34,여,001-118-919-2834x40260,dorothy89@campbell-bowman.com,"584 Melanie Hills, Courtneyburgh, NM 51440",bsantiago,2024-02-29,중형 세단,KX3,False,2024-10-31,62146936,신용카드,1,오프라인,2018-04,미국,0
