생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,차량구분,구매한제품,친환경차,제품구매날짜,거래금액,거래방식,제품구매빈도,제품구매경로,제품출시년월,지역,고객세그먼트,Cluster
1985-02-24,40,남,(082)759-8685x819,william46@hotmail.com,대전광역시 서구 둔산대로 117,user312234,2024-12-01,준대형 SUV,KX7,False,2024-12-09,43132661,계좌이체,2,온라인,2023-02,미국,3,1
1984-07-21,41,남,6612450116,mooredana@horn.com,울산광역시 남구 삼산로 198,user846637,2024-01-15,준대형 세단,EV6,True,2024-01-22,25136734,현금,2,오프라인,2018-05,미국,2,0
1977-07-05,48,남,410-924-4329,adam56@hotmail.com,경상남도 진주시 진주대로 500,user132213,2023-03-05,대형 세단,Carens MPV,False,2023-03-19,32021651,현금,1,온라인,2018-09,미국,2,0
1994-05-21,31,여,457-199-1673x4214,garciaangel@grant.biz,인천광역시 부평구 부평대로 88,user497750,2025-03-19,소형 해치백,Rio(pride),False,2025-03-23,49351685,현금,3,오프라인,2022-10,미국,0,3
1973-05-06,52,남,(257)164-0048,josephadams@hotmail.com,서울특별시 종로구 종로1길 36,user499287,2024-07-14,중형 SUV,KX7,False,2024-07-26,49660870,계좌이체,3,온라인,2022-05,미국,0,3
1991-10-16,34,여,564.667.6674x913,longbreanna@hotmail.com,경상남도 진주시 진주대로 500,user607414,2024-11-01,준중형 세단,Sonet,False,2024-11-29,44652304,신용카드,2,오프라인,2019-07,미국,1,4
1988-04-11,37,여,244.214.6100,leslieoliver@gmail.com,세종특별자치시 나성북로 21,user395583,2025-02-01,대형 세단,Carnival,False,2025-02-13,62277671,현금,1,온라인,2021-09,미국,1,4
1966-07-03,59,여,5783410807,schmittbrittany@gmail.com,경상북도 포항시 남구 중앙로 210,user420140,2025-03-10,준중형 세단,Rio(pride),False,2025-03-14,19575596,현금,4,오프라인,2020-10,미국,0,3
1986-11-18,39,남,001-503-121-5595,robinjones@hotmail.com,경상북도 포항시 남구 중앙로 210,user988957,2023-10-04,준대형 SUV,Sportage,False,2023-10-06,62102066,신용카드,2,오프라인,2021-05,미국,1,5
1982-06-14,43,여,001-917-921-6514x811,priscilla68@clements-gray.com,인천광역시 부평구 부평대로 88,user120572,2023-04-13,대형 SUV,Sorento,False,2023-05-06,40934044,계좌이체,4,오프라인,2021-04,미국,0,3
1985-05-12,40,여,466.629.1362,jeremy44@hines.com,경상남도 진주시 진주대로 500,user676927,2024-07-23,중형 SUV,EV6,True,2024-08-13,65202189,신용카드,1,오프라인,2018-05,미국,1,4
1980-04-11,45,여,369.417.5180,yalvarado@nichols-rogers.com,경상북도 포항시 남구 중앙로 210,user250397,2025-03-15,중형 SUV,KX7,False,2025-03-30,65992560,계좌이체,1,오프라인,2022-04,미국,1,4
1968-06-14,57,남,294.856.3666x7313,hannahsanders@gmail.com,충청남도 천안시 서북구 불당로 48,user359669,2024-06-19,중형 SUV,Optima / K5,False,2024-07-18,52698471,계좌이체,2,온라인,2019-02,미국,1,5
1988-02-23,37,남,(596)040-2874x47706,harrismatthew@hotmail.com,전라남도 목포시 하당로 110,user964223,2024-09-14,소형 해치백,EV6,True,2024-10-08,27743111,계좌이체,2,온라인,2019-10,미국,3,1
1981-02-08,44,여,001-396-062-6382,greenebrenda@nielsen-mcgee.info,세종특별자치시 나성북로 21,user635366,2024-03-02,소형 해치백,C'eed,False,2024-03-21,24187999,신용카드,3,오프라인,2021-09,미국,2,2
1999-08-11,26,여,(771)959-1199,poolejeremy@yahoo.com,광주광역시 서구 상무중앙로 75,user835608,2024-12-16,준중형 세단,Seltos,False,2025-01-01,65498910,계좌이체,1,오프라인,2021-02,미국,1,4
1973-05-02,52,여,+1-844-271-8045x59128,martincynthia@hotmail.com,서울특별시 종로구 종로1길 36,user647854,2024-06-26,준대형 SUV,Sorento,False,2024-07-04,50021496,신용카드,1,온라인,2019-10,미국,1,4
1967-02-13,58,남,001-237-125-0682x120,wyatt39@barrett.com,강원도 춘천시 중앙로 123,user102602,2023-08-09,준중형 세단,Carens MPV,False,2023-08-18,20799554,현금,1,온라인,2018-01,미국,2,0
1994-02-10,31,남,025.984.5855x4220,jessica87@gmail.com,경상남도 진주시 진주대로 500,user154225,2024-12-06,준대형 SUV,KX7,False,2024-12-12,41701585,현금,2,오프라인,2020-10,미국,2,0
1994-03-21,31,남,955-763-2951,wmartinez@hotmail.com,광주광역시 서구 상무중앙로 75,user301553,2024-05-08,준중형 세단,Forte,False,2024-06-04,45509885,계좌이체,3,온라인,2019-09,미국,0,3
1995-04-21,30,여,840-531-8865x85228,cgross@gmail.com,제주특별자치도 제주시 중앙로 230,user864060,2024-01-06,대형 세단,Pegas,False,2024-01-23,65893594,신용카드,1,오프라인,2021-10,미국,1,4
1965-04-10,60,남,9706440712,laurendonaldson@gmail.com,인천광역시 부평구 부평대로 88,user959987,2024-05-05,준대형 세단,Syros,False,2024-05-27,31946438,현금,3,온라인,2018-01,미국,0,3
1986-03-31,39,여,+1-152-234-5089x6071,xhodge@reyes-mcdonald.net,대전광역시 서구 둔산대로 117,user689783,2023-10-14,소형 해치백,Sonet,False,2023-11-02,55829984,신용카드,3,오프라인,2023-08,미국,1,4
1999-05-16,26,남,001-353-173-2461,eric41@gmail.com,제주특별자치도 제주시 중앙로 230,user391873,2024-06-23,중형 세단,Cerato,False,2024-06-27,22426530,현금,1,온라인,2021-11,미국,2,0
1966-01-28,59,남,001-694-568-4709x319,lbradley@yahoo.com,대구광역시 달서구 월배로 200,user831891,2023-04-20,중형 SUV,C'eed,False,2023-05-13,44813939,현금,1,온라인,2021-07,미국,2,0
1996-12-06,29,남,146.502.8601x1837,johnsoncharles@hotmail.com,경상남도 진주시 진주대로 500,user170732,2024-01-08,중형 SUV,KX1,False,2024-01-28,66992021,현금,1,온라인,2022-03,미국,1,5
1973-05-17,52,여,(672)119-5110x945,wgomez@bowman.com,경기도 고양시 일산동구 중앙로 1036,user646655,2025-03-06,대형 SUV,Optima / K5,False,2025-03-07,48354916,신용카드,2,오프라인,2018-01,미국,1,4
1969-07-26,56,남,001-493-548-8107x32761,sethruiz@davis.com,충청북도 청주시 상당구 상당로 82,user112386,2023-10-02,중형 세단,KX3,False,2023-10-13,47641113,계좌이체,1,오프라인,2022-07,미국,3,1
1995-06-03,30,남,001-988-118-8210x76059,amanda70@yahoo.com,강원도 춘천시 중앙로 123,user349393,2023-01-01,준대형 세단,Carens MPV,False,2023-01-09,47214992,신용카드,1,온라인,2019-10,미국,1,5
1996-03-13,29,남,723.805.7121,ywhite@hotmail.com,충청남도 천안시 서북구 불당로 48,user877933,2025-03-08,대형 SUV,Optima / K5,False,2025-03-14,46724283,현금,1,온라인,2021-04,미국,1,5
1984-01-08,41,여,(068)895-8993x2191,jessicamorse@martinez-mendoza.com,광주광역시 서구 상무중앙로 75,user552634,2024-12-08,준대형 SUV,Sonet,False,2025-01-06,57862729,신용카드,1,온라인,2020-01,미국,1,4
1984-01-23,41,여,631-664-1700,jefferywillis@bray-andrade.com,경상남도 진주시 진주대로 500,user896275,2024-11-09,준중형 해치백,Sorento,False,2024-12-06,34302563,신용카드,1,오프라인,2021-07,미국,2,2
1965-01-15,60,남,242.075.3087x722,zhampton@yahoo.com,경기도 고양시 일산동구 중앙로 1036,user343133,2023-05-17,준대형 세단,Cerato,False,2023-06-06,40474397,현금,3,온라인,2021-12,미국,0,3
1973-12-22,52,여,195.261.7186x709,michelereeves@yahoo.com,세종특별자치시 나성북로 21,user624549,2023-07-10,픽업트럭,EV5,True,2023-08-06,46781168,신용카드,1,온라인,2023-07,미국,1,4
1965-06-24,60,남,4362569153,cooperkristin@walls.biz,제주특별자치도 제주시 중앙로 230,user642646,2023-12-30,중형 SUV,Zhipao,False,2024-01-12,40568033,신용카드,3,온라인,2021-08,미국,0,3
1993-05-12,32,여,(145)018-1878x5037,pauljones@yahoo.com,충청북도 청주시 상당구 상당로 82,user335099,2024-07-26,중형 세단,Sorento,False,2024-08-13,48074385,현금,2,온라인,2022-07,미국,1,4
1965-06-01,60,여,6032897957,dnewton@graham-harmon.com,충청남도 천안시 서북구 불당로 48,user597588,2024-12-24,소형 해치백,Syros,False,2024-12-28,33058702,현금,4,오프라인,2018-07,미국,0,3
1969-08-30,56,여,309.845.5225,susan94@gmail.com,경기도 고양시 일산동구 중앙로 1036,user496633,2025-02-26,중형 세단,KX5,False,2025-03-21,50853294,계좌이체,4,오프라인,2022-07,미국,0,3
1980-11-09,45,남,236.790.8213x5221,garciabrenda@dunn.info,울산광역시 남구 삼산로 198,user325549,2025-02-18,준중형 세단,EV9,True,2025-03-15,29208769,현금,3,오프라인,2018-01,미국,2,0
1972-04-16,53,여,+1-143-358-6283,coxamy@yahoo.com,인천광역시 부평구 부평대로 88,user421417,2024-10-21,준중형 세단,K4,False,2024-11-04,19590348,신용카드,1,온라인,2022-06,미국,2,2
1976-11-20,49,남,+1-702-907-5422x48980,steven89@rowe.com,전라남도 목포시 하당로 110,user468692,2024-02-27,대형 SUV,Telluride,False,2024-03-02,34363932,현금,1,오프라인,2020-02,미국,2,0
1995-03-10,30,남,001-326-334-5708,dorseymichael@gray.com,세종특별자치시 나성북로 21,user323016,2025-01-26,대형 세단,Cerato,False,2025-02-22,26579859,계좌이체,1,온라인,2022-08,미국,3,1
1992-09-04,33,남,6585522950,jason04@hotmail.com,전라북도 군산시 백릉로 300,user677952,2025-01-21,준중형 해치백,KX5,False,2025-01-23,54694800,현금,1,오프라인,2021-07,미국,1,5
1996-08-31,29,남,036.590.7746,jason40@hotmail.com,충청북도 청주시 상당구 상당로 82,user649035,2024-03-27,준중형 세단,EV6,True,2024-04-04,43426076,계좌이체,3,온라인,2022-01,미국,0,3
1981-10-03,44,남,2610158526,jaredmiller@park-gibbs.com,충청남도 천안시 서북구 불당로 48,user780577,2024-11-29,대형 SUV,Carnival,False,2024-12-27,26667833,계좌이체,1,온라인,2018-03,미국,3,1
1970-07-01,55,남,977-418-1827x1513,alicia88@owens.com,부산광역시 동래구 충렬대로 237,user257588,2024-09-02,대형 세단,K4,False,2024-09-17,58167405,계좌이체,1,오프라인,2022-02,미국,1,5
1995-03-25,30,남,+1-319-807-1233x678,jenniferrivera@giles-hines.com,충청북도 청주시 상당구 상당로 82,user981960,2024-10-23,준대형 SUV,K4,False,2024-11-17,26349420,계좌이체,1,오프라인,2022-11,미국,3,1
1994-12-27,31,여,548-400-4210x99798,arussell@gmail.com,세종특별자치시 나성북로 21,user335373,2024-10-07,준대형 SUV,Syros,False,2024-10-30,61677179,계좌이체,1,오프라인,2018-08,미국,1,4
1997-05-18,28,남,001-892-079-8338x1013,juanhunter@gmail.com,서울특별시 종로구 종로1길 36,user198329,2024-12-15,중형 SUV,Zhipao,False,2025-01-04,24220331,계좌이체,1,온라인,2023-02,미국,3,1
1999-10-17,26,여,488.059.5474x20028,kevincowan@chavez.com,인천광역시 부평구 부평대로 88,user629936,2024-07-10,준대형 세단,EV9,True,2024-07-28,68374117,현금,1,오프라인,2019-06,미국,1,4
1995-12-01,30,남,122-072-1598x05602,josephpearson@jackson.com,서울특별시 종로구 종로1길 36,user161856,2025-03-07,대형 SUV,Carnival,False,2025-03-22,43237892,계좌이체,1,온라인,2023-05,미국,3,1
1977-02-05,48,남,(008)224-4913,abridges@watson.com,대전광역시 서구 둔산대로 117,user259046,2022-10-12,준대형 세단,Rio(pride),False,2022-11-02,26860569,신용카드,4,오프라인,2021-07,미국,0,3
1965-12-25,60,남,(323)213-9928,campbelljacob@gmail.com,인천광역시 부평구 부평대로 88,user592315,2025-01-24,대형 세단,KX3,False,2025-02-04,27133572,계좌이체,2,온라인,2021-12,미국,3,1
1998-06-08,27,남,+1-428-143-5194x1997,brussell@rodriguez.com,전라북도 군산시 백릉로 300,user561118,2023-10-03,준중형 SUV,Cerato,False,2023-10-18,68332269,신용카드,1,오프라인,2020-06,미국,1,5
1997-11-30,28,여,652.939.7252,nicholas67@moran.com,제주특별자치도 제주시 중앙로 230,user389692,2024-02-14,중형 세단,K3,False,2024-02-28,43325967,계좌이체,1,온라인,2021-06,미국,3,1
1975-06-25,50,여,970-730-6868x8786,sheribryan@chambers.com,울산광역시 남구 삼산로 198,user260337,2024-07-24,중형 세단,Seltos,False,2024-07-27,23270600,신용카드,2,오프라인,2021-11,미국,2,2
1965-06-18,60,여,(045)982-7814x70564,bridgesdustin@gmail.com,경기도 고양시 일산동구 중앙로 1036,user934724,2023-12-14,준대형 SUV,KX1,False,2023-12-22,60021956,신용카드,1,온라인,2021-02,미국,1,4
1972-04-07,53,남,2085205645,jonathanwilliams@aguirre.com,세종특별자치시 나성북로 21,user605872,2022-11-28,소형 해치백,Zhipao,False,2022-12-20,22774584,현금,3,온라인,2019-10,미국,2,0
1995-01-20,30,남,001-949-442-2832x995,eric96@hotmail.com,제주특별자치도 제주시 중앙로 230,user421730,2025-03-07,중형 세단,Forte,False,2025-03-16,35008401,신용카드,1,오프라인,2018-10,미국,2,0
1975-03-10,50,남,(121)189-4623x116,maria56@gmail.com,경상북도 포항시 남구 중앙로 210,user584211,2024-02-19,대형 SUV,Optima / K5,False,2024-03-13,43815318,신용카드,4,오프라인,2020-03,미국,0,3
1994-05-24,31,여,592.839.6257,isabel61@yahoo.com,서울특별시 종로구 종로1길 36,user696308,2024-02-03,준중형 세단,Rio(pride),False,2024-02-25,29930070,현금,4,온라인,2020-06,미국,0,3
1994-09-15,31,여,106-967-9693,patricia62@collins.biz,부산광역시 동래구 충렬대로 237,user212583,2025-03-20,준중형 세단,Forte,False,2025-03-24,60009523,신용카드,3,오프라인,2023-02,미국,1,4
1992-06-19,33,여,001-010-786-7605x3450,sarah16@stevenson.com,세종특별자치시 나성북로 21,user155784,2023-03-08,중형 세단,Rio(pride),False,2023-03-21,60212408,계좌이체,4,오프라인,2022-08,미국,0,3
1989-10-27,36,여,242.866.2271,bryantrobert@gould.com,부산광역시 동래구 충렬대로 237,user725626,2024-02-13,대형 SUV,Telluride,False,2024-02-27,56835595,현금,2,오프라인,2020-02,미국,1,4
1981-11-10,44,여,665.716.4022x612,michelle94@acosta-thompson.com,광주광역시 서구 상무중앙로 75,user495103,2025-01-31,준대형 세단,Optima / K5,False,2025-02-16,24831193,신용카드,4,온라인,2020-04,미국,0,3
1965-05-25,60,남,033.156.6705x3308,greenejames@hotmail.com,전라남도 목포시 하당로 110,user335525,2025-03-21,대형 세단,K4,False,2025-03-27,47751045,계좌이체,1,오프라인,2021-05,미국,3,1
1966-03-03,59,남,044-161-6613x063,alicia39@yahoo.com,제주특별자치도 제주시 중앙로 230,user469251,2024-12-23,준대형 SUV,Syros,False,2024-12-25,63238322,현금,3,오프라인,2019-01,미국,1,5
1967-11-20,58,여,(493)871-3899,ocarroll@caldwell-avila.com,충청북도 청주시 상당구 상당로 82,user952395,2024-03-11,준중형 세단,Carens MPV,False,2024-03-22,48184837,계좌이체,4,온라인,2023-10,미국,0,3
1989-04-09,36,여,001-663-630-5128x1637,natashamcpherson@gmail.com,대전광역시 서구 둔산대로 117,user867088,2023-08-05,중형 세단,Zhipao,False,2023-08-15,27720329,신용카드,2,오프라인,2020-07,미국,2,2
1993-05-26,32,여,(923)562-1343,susan12@preston.info,울산광역시 남구 삼산로 198,user233871,2024-12-29,준중형 세단,Carens MPV,False,2025-01-09,50798715,신용카드,1,온라인,2018-04,미국,1,4
1986-07-10,39,남,001-310-769-0700x96089,otorres@hotmail.com,울산광역시 남구 삼산로 198,user871808,2023-12-24,소형 해치백,Sorento,False,2024-01-22,54157608,신용카드,1,오프라인,2019-01,미국,1,5
1969-10-06,56,남,1323123036,ronaldcampbell@gmail.com,부산광역시 동래구 충렬대로 237,user134281,2024-12-21,준중형 해치백,Sonet,False,2025-01-08,37487744,현금,2,온라인,2022-01,미국,2,0
1987-08-13,38,남,001-804-248-5116x8839,linatalie@schultz.net,대구광역시 달서구 월배로 200,user711444,2024-08-23,중형 SUV,Carens MPV,False,2024-08-26,38203398,계좌이체,2,온라인,2018-08,미국,3,1
1980-01-18,45,남,508.825.7044x55428,cynthia87@king.com,강원도 춘천시 중앙로 123,user186698,2024-05-10,준대형 세단,Optima / K5,False,2024-05-25,27581572,계좌이체,3,오프라인,2018-02,미국,3,1
1979-11-08,46,남,+1-985-676-0042x70983,kelly89@yahoo.com,전라북도 군산시 백릉로 300,user641144,2025-03-04,준대형 SUV,K2,False,2025-03-27,33955272,계좌이체,2,오프라인,2021-10,미국,3,1
1981-04-14,44,여,(292)582-4914x808,mark21@hotmail.com,대구광역시 달서구 월배로 200,user869218,2023-07-19,소형 해치백,Sonet,False,2023-08-14,29895110,신용카드,3,온라인,2022-11,미국,0,3
1971-04-21,54,남,+1-787-410-5663x26246,whitekatrina@vega.biz,경상남도 진주시 진주대로 500,user920938,2024-01-12,준대형 SUV,EV6,True,2024-02-08,19763821,계좌이체,4,오프라인,2020-07,미국,0,3
1993-06-22,32,여,547-998-4418,georgerobert@gmail.com,충청남도 천안시 서북구 불당로 48,user458190,2023-07-28,중형 세단,Rio(pride),False,2023-08-12,35604952,현금,1,오프라인,2022-08,미국,2,2
1997-08-22,28,남,(243)758-1162,nellison@hotmail.com,전라북도 군산시 백릉로 300,user538082,2024-09-05,대형 세단,Zhipao,False,2024-10-05,62807788,계좌이체,2,오프라인,2023-09,미국,1,5
1991-02-01,34,여,001-118-919-2834x40260,dorothy89@campbell-bowman.com,울산광역시 남구 삼산로 198,user132902,2024-10-28,중형 세단,KX3,False,2024-10-31,62146936,신용카드,1,오프라인,2018-04,미국,1,4
1979-09-23,46,여,001-866-881-4539x24133,jacobthompson@yahoo.com,충청북도 청주시 상당구 상당로 82,user382726,2024-09-12,중형 SUV,Optima / K5,False,2024-10-10,41058363,계좌이체,2,오프라인,2019-05,미국,3,1
1972-12-10,53,남,578-644-8296,alexandernixon@leonard.info,경상북도 포항시 남구 중앙로 210,user965856,2023-11-30,중형 SUV,Rio(pride),False,2023-12-12,42531016,계좌이체,1,오프라인,2020-10,미국,3,1
1995-08-16,30,남,(292)066-5456x67037,dwilliams@bullock.com,경기도 고양시 일산동구 중앙로 1036,user185688,2024-08-20,소형 해치백,C'eed,False,2024-08-26,53530418,계좌이체,2,온라인,2023-02,미국,1,5
1998-05-10,27,여,+1-758-158-9186,carolynowens@brown-wong.com,경상남도 진주시 진주대로 500,user680305,2024-02-05,대형 세단,Sonet,False,2024-02-22,26356457,신용카드,3,오프라인,2023-06,미국,2,2
1992-08-14,33,여,463-910-2742,gflynn@griffin.biz,울산광역시 남구 삼산로 198,user651739,2024-02-28,준대형 SUV,Telluride,False,2024-03-06,59817812,현금,4,온라인,2020-07,미국,0,3
1967-10-19,58,남,342-148-7630,gkey@miller.com,충청북도 청주시 상당구 상당로 82,user674021,2024-12-20,중형 SUV,Optima / K5,False,2024-12-26,49232887,계좌이체,2,오프라인,2018-06,미국,1,5
1998-02-27,27,남,+1-133-917-2328,christinepadilla@flores-davis.com,대전광역시 서구 둔산대로 117,user282739,2025-02-13,대형 SUV,Cerato,False,2025-02-16,29474273,신용카드,6,오프라인,2023-07,미국,0,3
1972-03-24,53,남,107-178-7896x753,smithmartha@yahoo.com,광주광역시 서구 상무중앙로 75,user481962,2024-08-01,준중형 SUV,Carens MPV,False,2024-08-14,49148066,현금,1,온라인,2023-02,미국,1,5
1996-08-28,29,남,001-122-695-1436x9200,vickiehiggins@brooks.com,전라북도 군산시 백릉로 300,user641008,2024-09-18,중형 SUV,KX7,False,2024-09-24,29924687,신용카드,1,오프라인,2020-07,미국,2,0
1972-11-04,53,여,610-599-3180x447,murphylaura@hotmail.com,경기도 고양시 일산동구 중앙로 1036,user615749,2025-01-01,대형 SUV,Carnival,False,2025-01-14,23020905,계좌이체,1,온라인,2023-07,미국,3,1
1970-12-27,55,남,195.372.8177x4089,xray@hotmail.com,강원도 춘천시 중앙로 123,user572515,2025-01-09,픽업트럭,Syros,False,2025-01-14,44783385,현금,2,오프라인,2021-06,미국,2,0
1992-06-29,33,남,+1-287-571-9887,brettgonzales@middleton.biz,세종특별자치시 나성북로 21,user798087,2024-06-02,대형 세단,Sorento,False,2024-07-02,37536133,계좌이체,1,오프라인,2020-05,미국,3,1
1998-05-10,27,남,619.410.2829,jenniferdixon@gmail.com,제주특별자치도 제주시 중앙로 230,user304926,2024-07-10,중형 SUV,K4,False,2024-07-18,47691847,계좌이체,2,온라인,2021-11,미국,3,1
1992-07-06,33,여,123.053.2526x00118,samanthasanchez@castillo.net,충청남도 천안시 서북구 불당로 48,user127918,2024-12-17,소형 해치백,Zhipao,False,2025-01-03,29838347,현금,1,오프라인,2018-05,미국,2,2
1992-07-04,33,여,(210)107-4520x500,franklinjennifer@morris.net,전라북도 군산시 백릉로 300,user985170,2024-08-21,대형 세단,KX5,False,2024-09-18,42202385,신용카드,1,오프라인,2022-09,미국,2,2
1976-08-11,49,여,(703)909-7380x7991,trevorbarry@gmail.com,서울특별시 종로구 종로1길 36,user173160,2023-12-03,대형 세단,Rio(pride),False,2023-12-25,44651558,신용카드,1,온라인,2022-06,미국,1,4
