이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,차량구분,구매한 제품,친환경차,제품 구매 날짜,거래 금액,거래방식,제품구매빈도,제품구매경로,제품출시년월,국가,고객 세그먼트,Cluster
Emily Johnson,1972-03-28,53,여,+1-274-846-7737x8263,hillkristy@morgan-french.com,"499 Grimes Mission Suite 558, Gibsonmouth, ID 91923",ashleyhall,2023-12-29,픽업트럭,Kona,True,2024-01-31,43780000,신용카드,5,오프라인,2022-02,미국,3,3
Emily Brown,1985-11-24,40,남,001-766-270-2895x1718,bowenrobert@hotmail.com,"Unit 1745 Box 9615, DPO AP 70443",ofinley,2024-04-27,준대형 SUV,Venue,False,2024-11-23,23070000,신용카드,1,온라인,2021-01,미국,2,5
Robert Anderson,1966-09-09,59,남,+1-134-316-1172x400,carternicholas@gmail.com,"222 Chelsea Light Apt. 792, South Dana, KS 87905",nolansteven,2023-06-20,중형 세단,Grandeur,False,2024-11-27,56740000,계좌이체,1,오프라인,2022-03,미국,1,2
David Smith,1974-12-30,51,여,759-464-7436,youngashley@hotmail.com,"64090 Wall Heights Apt. 953, New John, VA 86901",courtneyberger,2024-12-29,중형 세단,Tucson,False,2025-01-01,31390000,계좌이체,1,오프라인,2021-07,미국,0,0
Jessica Davis,1985-04-08,40,여,095.214.5623x285,jonathansummers@yahoo.com,"Unit 4517 Box 1236, DPO AP 48443",gibbsalexander,2024-07-11,중형 세단,Kona,True,2024-08-27,43830000,계좌이체,1,오프라인,2022-02,미국,0,0
Laura Thomas,1995-03-12,30,여,(496)513-7098x593,tblankenship@ortiz.com,"Unit 1138 Box 2675, DPO AP 97905",umatthews,2022-11-26,준대형 세단,Grandeur,False,2024-08-31,61080000,계좌이체,1,오프라인,2022-03,미국,1,1
Daniel Smith,1970-12-26,55,여,964.053.7735x1585,hhill@davis-lewis.org,"Unit 0532 Box 9318, DPO AE 77359",lisahall,2022-11-15,소형 해치백,Avante,False,2022-11-19,24850000,신용카드,3,오프라인,2020-09,미국,2,5
Michael Brown,1983-02-11,42,남,(284)210-2053,thompsonbrian@hotmail.com,"177 Palmer Coves, Gordonton, WY 86864",stephen00,2024-04-13,대형 SUV,G80,False,2025-03-08,71860000,계좌이체,3,오프라인,2021-05,미국,1,1
Jessica Johnson,1991-07-30,34,여,(177)115-9212x49985,shawn96@gmail.com,"836 Beasley Loop, Mariafurt, VA 12964",ronald45,2022-11-23,준중형 세단,Sorento,False,2024-11-28,53480000,현금,2,온라인,2021-04,미국,1,1
Daniel Anderson,1968-10-24,57,남,116-152-8098,jenkinsmorgan@yahoo.com,"9451 Eric Orchard, Port Daniel, OH 48677",farmeraudrey,2024-01-26,중형 SUV,GV70,False,2024-02-15,87260000,계좌이체,2,온라인,2022-08,미국,1,2
Emily Taylor,1982-06-12,43,여,2445502296,joycebonilla@reese.biz,"54599 Nicole Drives Apt. 901, Scottchester, PA 58440",wnelson,2024-06-03,대형 세단,Santa Fe,False,2024-07-17,46710000,현금,1,온라인,2020-10,미국,2,5
Sarah Brown,1987-09-26,38,여,(149)784-0369x00343,keith10@burgess-thompson.biz,"851 Hensley Canyon, Smithland, MD 75966",tberry,2024-12-19,대형 세단,Venue,False,2025-03-10,26430000,현금,1,온라인,2021-01,미국,0,0
Daniel Brown,1983-12-12,42,여,605-297-5161,hchapman@foster.com,"81883 Bell Viaduct, East Curtis, ID 23241",kathleenrios,2022-12-31,대형 SUV,G80,False,2025-02-05,78650000,현금,1,오프라인,2021-05,미국,1,2
Emma White,1995-10-26,30,여,001-997-995-5271x77449,william47@johnson-wood.com,"986 Carpenter Turnpike, South Reginashire, ID 42644",dmason,2024-02-28,중형 세단,Ioniq 6,True,2024-05-18,71470000,신용카드,2,오프라인,2023-01,미국,1,1
Sarah Wilson,1987-08-14,38,남,001-182-037-7889x255,vortiz@hotmail.com,"51864 Cummings Shoals Apt. 519, West Kyle, UT 87288",tanderson,2022-08-09,준대형 세단,Santa Fe,False,2023-12-02,42630000,현금,4,온라인,2020-10,미국,3,4
Jessica Johnson,1989-11-17,36,여,+1-528-168-5054x2357,zoemoore@richard-garcia.net,"592 Moore Falls, Lake Samuel, MN 89153",tarabishop,2024-02-26,준대형 세단,EV6,True,2024-08-25,75950000,신용카드,2,온라인,2022-05,미국,1,1
Laura Brown,1980-07-09,45,여,735-977-4688x6239,brett75@villa.com,"7826 Stacey Forges, Wilkersontown, AR 52465",joe15,2023-03-14,준중형 세단,Kona,True,2023-04-04,31520000,계좌이체,2,오프라인,2022-02,미국,0,0
Jessica Johnson,1985-12-06,40,남,522-047-2779,smithjason@dunn.org,"3410 Robert Underpass, Brownfort, ND 02655",jennifercarter,2022-04-02,대형 세단,Elantra,False,2024-11-12,38890000,계좌이체,1,온라인,2020-08,미국,0,0
Emma Smith,1988-04-03,37,남,962.185.1888,cmarks@hughes.com,"19520 Payne Via Apt. 772, North Jennifer, AZ 38963",bradleygonzalez,2022-06-04,대형 SUV,EV6,True,2023-10-07,87410000,현금,5,오프라인,2022-05,미국,3,4
John Thomas,1985-05-06,40,여,687.403.4505x41566,lmorgan@yahoo.com,"416 Ryan View Apt. 845, North Markport, NV 79487",cjackson,2023-09-28,중형 SUV,Santa Fe,False,2024-09-09,42630000,계좌이체,2,온라인,2020-10,미국,0,0
Laura Smith,1967-02-16,58,여,001-596-401-6582x0297,carlososborne@cox-herring.com,"5719 Alyssa Locks Suite 431, Lake Jacobhaven, OH 15936",kimberly73,2024-11-05,준대형 SUV,G80,False,2024-12-30,82040000,계좌이체,1,오프라인,2021-05,미국,1,2
Emma Brown,1997-09-02,28,여,121.727.1551,melissa25@hotmail.com,"37058 Mcdonald Plaza, New Nicole, ME 52688",xfox,2023-12-27,중형 SUV,i20,False,2025-03-17,22480000,현금,1,온라인,2020-05,미국,0,0
Jessica White,1969-04-07,56,여,(517)785-2892,dshaw@holmes.com,"8414 Cynthia Plaza, Davidport, ND 12746",brittanycarpenter,2022-12-21,대형 SUV,Accent,False,2024-05-28,25040000,현금,2,온라인,2019-03,미국,0,0
Laura Moore,1967-01-18,58,남,1094396907,timothy64@yahoo.com,"76773 Lawson Island, Jessicastad, DC 49068",floressteven,2023-05-20,픽업트럭,G80,False,2024-05-03,77940000,신용카드,2,온라인,2021-05,미국,1,2
John Taylor,1981-02-12,44,남,(104)696-3259,kathrynjimenez@hotmail.com,"0168 Levy Forge Suite 004, Harperfort, ND 01572",jordannicole,2023-10-20,준중형 해치백,i20,False,2024-08-28,28070000,계좌이체,6,오프라인,2020-05,미국,3,3
John Anderson,1989-02-23,36,여,6098358416,marcia99@gmail.com,"5585 James Pass, Porterton, DC 94032",linda87,2022-11-17,준중형 해치백,Grandeur,False,2025-01-25,51730000,현금,2,오프라인,2022-03,미국,2,5
Emily Moore,1973-10-04,52,여,952-694-9588x87947,mark16@parker.com,"993 Brandy Extension Suite 230, East Andrewmouth, FL 54628",roberthampton,2024-04-01,준중형 SUV,Ioniq 6,True,2025-03-05,89910000,신용카드,1,온라인,2023-01,미국,1,2
Daniel Wilson,1968-06-26,57,여,001-283-857-8652x785,chelsea33@yahoo.com,"4375 Bailey Underpass, Keithshire, ND 50268",xcardenas,2022-11-13,준대형 세단,Sportage,False,2024-02-07,32000000,계좌이체,1,온라인,2021-11,미국,0,0
Laura Taylor,1967-02-09,58,남,157-473-3848x4219,brentstein@little.com,"20826 Woods Flats Suite 540, Lake Audreyside, VA 05389",robertmonroe,2022-05-26,중형 세단,Ioniq 6,True,2024-02-01,81230000,현금,1,오프라인,2023-01,미국,1,2
Jessica Davis,1997-12-15,28,남,(400)499-1547,melissamcdonald@gmail.com,"74205 Bradley Throughway Apt. 296, Robertsonland, TN 13003",tinawoods,2023-04-20,대형 SUV,K5,False,2023-04-25,67690000,신용카드,1,온라인,2020-01,미국,1,1
Robert Davis,1981-12-28,44,여,(374)549-9045x3017,richardshaw@hotmail.com,"459 Jeffrey Dale, Hernandezstad, UT 72490",ztodd,2025-01-25,중형 세단,Tucson,False,2025-02-15,47590000,신용카드,2,오프라인,2021-07,미국,2,5
Emily Thomas,1981-01-31,44,여,+1-918-785-1910x88398,markmeyer@frazier.org,"72867 Angelica Spring Suite 064, Lake Jefferyland, NE 45659",weaverbrian,2022-07-16,픽업트럭,Venue,False,2024-07-18,19760000,계좌이체,3,오프라인,2021-01,미국,0,0
Daniel Taylor,1966-05-28,59,여,622-656-7661x8251,urice@davenport.com,"633 Reed Harbor Apt. 106, East Jamieville, AZ 59016",sanchezbradley,2024-02-10,중형 세단,GV70,False,2024-08-10,86010000,계좌이체,2,온라인,2022-08,미국,1,2
David Wilson,1979-01-12,46,여,001-028-439-5995x34283,joshua89@hotmail.com,"PSC 6870, Box 5685, APO AP 55069",yhernandez,2023-01-10,대형 SUV,Avante,False,2025-01-14,28770000,현금,1,온라인,2020-09,미국,0,0
John Moore,1980-08-23,45,여,427.086.6882,jonathanrivera@gmail.com,"PSC 5183, Box 0469, APO AP 05684",lopezkathleen,2025-02-06,준대형 SUV,Elantra,False,2025-02-27,43290000,현금,1,오프라인,2020-08,미국,2,5
Jessica Johnson,1996-11-13,29,남,540.331.7393,andrearowe@yahoo.com,"4587 Garcia Stravenue Suite 535, Robertshire, IN 97658",allentran,2024-09-23,준대형 세단,G80,False,2025-01-13,83050000,신용카드,1,오프라인,2021-05,미국,1,1
Emma Smith,1992-08-29,33,여,235-369-3785x4777,gary87@stark.com,"006 Megan Fort, Lake Edwardborough, NH 49417",williamsonelizabeth,2024-11-12,대형 세단,Elantra,False,2025-02-13,48180000,신용카드,1,온라인,2020-08,미국,2,5
Laura Thomas,1997-06-11,28,남,0886008484,ldrake@hull.com,"4615 Stevens Gardens Apt. 410, South Nicholasside, AR 83960",warnerchristopher,2024-02-03,대형 SUV,Avante,False,2024-10-17,28260000,계좌이체,1,온라인,2020-09,미국,0,0
Sarah Johnson,1970-09-26,55,여,033.974.0148x90250,karenmarquez@hickman-evans.org,"856 Krystal Spurs Apt. 850, South Jesseland, PA 80961",unovak,2022-05-16,준중형 해치백,EV6,True,2025-01-25,80030000,현금,1,오프라인,2022-05,미국,1,2
Laura Johnson,1982-11-05,43,여,735.866.2961x943,adamsnorman@moore.com,"5412 Jacob Mission Suite 101, Angelamouth, MS 02118",robert18,2023-04-12,준대형 SUV,Santa Fe,False,2024-06-29,32110000,신용카드,1,오프라인,2020-10,미국,2,5
Michael Smith,1999-09-16,26,남,(622)444-7212,robert71@yahoo.com,"799 Stephen Dale, Adamfurt, RI 50293",scott69,2022-10-28,준중형 해치백,Tucson,False,2024-02-06,40370000,현금,4,오프라인,2021-07,미국,3,4
Robert Johnson,1986-01-25,39,여,+1-375-265-4793x564,daniel93@hotmail.com,"Unit 2807 Box 3741, DPO AA 88709",ttaylor,2023-04-10,중형 SUV,Avante,False,2023-10-23,20170000,계좌이체,3,오프라인,2020-09,미국,0,0
Emily Anderson,1974-09-26,51,남,001-661-797-9688x680,rodriguezjohn@hotmail.com,"656 Alex Green, New Julie, OR 90634",seanmyers,2025-02-18,중형 SUV,K5,False,2025-03-18,51380000,계좌이체,2,온라인,2020-01,미국,0,0
Sarah Smith,1998-04-21,27,남,(507)146-1125,stanley38@yahoo.com,"7514 Lisa Crescent, Port Matthewville, GA 97558",zacharyarnold,2023-08-27,준대형 세단,Sorento,False,2024-11-03,59890000,계좌이체,4,온라인,2021-04,미국,3,4
David Moore,1993-04-05,32,여,362.266.0937x966,jamiegoodwin@ray.com,"1478 Harper Ridge, Matthewsstad, NH 81419",lisamccarthy,2023-07-06,준대형 SUV,Grandeur,False,2024-10-25,68600000,신용카드,1,온라인,2022-03,미국,1,1
Michael Anderson,1970-01-05,55,남,+1-251-341-2528x66929,olopez@hotmail.com,"274 Jacob Ville, Harveystad, NM 18396",lisamaynard,2024-05-24,준중형 해치백,K5,False,2025-02-01,53950000,계좌이체,1,오프라인,2020-01,미국,1,2
Sarah Wilson,1997-12-05,28,여,(767)721-9034x04384,xcunningham@dunn-wilson.com,"078 Veronica Cove Apt. 407, Michaelland, DE 31557",lisamatthews,2023-09-26,중형 SUV,Avante,False,2025-01-12,19350000,계좌이체,1,오프라인,2020-09,미국,0,0
Robert Taylor,1993-05-20,32,남,(923)309-5849,tiffany44@adams.com,"42232 Poole Trace Suite 729, Courtneyfurt, CA 83551",powellkara,2025-03-14,준중형 세단,Kona,True,2025-03-22,49300000,현금,1,오프라인,2022-02,미국,2,5
Robert Anderson,1995-03-10,30,여,590.175.1863x6374,matthew92@hotmail.com,"001 Smith Walks Apt. 770, Harrisberg, SD 40067",nancymcdowell,2022-08-22,중형 SUV,Elantra,False,2024-03-03,33040000,현금,1,온라인,2020-08,미국,2,5
Emma Anderson,1981-04-14,44,여,520-643-6110,lmiller@stone.com,"62713 Davis Valley Apt. 155, Derrickberg, TX 19225",morenoalan,2025-01-03,준중형 해치백,Grandeur,False,2025-01-18,68870000,계좌이체,2,오프라인,2022-03,미국,1,2
Robert Taylor,1994-03-12,31,남,(326)973-1121x965,kylie34@hotmail.com,"043 Julie Hill Apt. 376, East Victorland, AL 47830",david96,2023-10-19,준대형 SUV,EV6,True,2024-12-16,85460000,계좌이체,1,오프라인,2022-05,미국,1,1
David Brown,1976-01-02,49,남,001-710-910-4300x68486,imiller@hotmail.com,"41832 Myers Roads Apt. 463, East Christopherchester, NH 80755",parkerjudith,2022-12-28,픽업트럭,Avante,False,2023-07-01,20070000,신용카드,1,온라인,2020-09,미국,2,5
Laura Anderson,1965-02-08,60,남,001-202-758-8425x241,lindsay48@baker.com,"79252 Ayala Ports Apt. 380, Port Michellebury, NJ 48208",lmora,2022-05-24,대형 SUV,Sportage,False,2024-09-28,41010000,신용카드,5,온라인,2021-11,미국,3,3
John Davis,1992-10-13,33,남,536.541.9518,jeffreyblack@finley.info,"1870 Gonzalez Port Suite 937, Brittanyfort, WI 26115",edwardrandolph,2022-05-07,준중형 세단,Kona,True,2023-05-03,43940000,신용카드,1,오프라인,2022-02,미국,2,5
Daniel Anderson,1987-10-27,38,남,+1-050-641-3836x7024,morsephyllis@gutierrez.com,"619 Ryan Curve, West Jose, MO 92346",louis43,2022-07-25,준중형 세단,GV70,False,2023-06-04,71790000,계좌이체,2,오프라인,2022-08,미국,1,1
Emily Thomas,1973-07-05,52,여,001-912-127-7561x85374,melissa12@hotmail.com,"52135 Palmer Springs, Jorgeburgh, MO 59771",codygarcia,2022-11-03,준중형 세단,Kona,True,2023-05-10,43020000,현금,2,오프라인,2022-02,미국,2,5
Laura Anderson,1965-01-22,60,남,3236519941,gonzalezdebbie@davis.com,"29667 Patrick Meadow Apt. 532, Joshuaberg, RI 81657",deborahporter,2024-08-02,소형 해치백,Accent,False,2025-02-04,20560000,현금,2,온라인,2019-03,미국,0,0
Laura Smith,1968-05-24,57,여,462-638-3806,fstephens@yahoo.com,"PSC 8564, Box 2059, APO AE 04341",brian78,2023-10-07,중형 세단,Avante,False,2025-01-02,19460000,계좌이체,1,오프라인,2020-09,미국,0,0
Emma White,1980-02-01,45,남,(133)480-3965,joelstewart@wolfe.com,"USNS Hart, FPO AE 65018",gregory01,2022-06-26,소형 해치백,Accent,False,2023-06-22,24640000,신용카드,1,오프라인,2019-03,미국,2,5
Jessica Davis,1979-02-19,46,여,8705932525,hernandezjanet@schroeder.com,"USNV Bush, FPO AP 52352",rogersmarcus,2022-11-30,준중형 세단,Grandeur,False,2024-10-08,56810000,현금,3,온라인,2022-03,미국,3,3
Daniel Wilson,1997-05-26,28,남,+1-528-953-9264x4220,whitelucas@hotmail.com,"2513 Haas Expressway, Port Jennamouth, AL 35262",johnjones,2023-05-03,대형 SUV,Avante,False,2025-01-03,27280000,신용카드,1,오프라인,2020-09,미국,2,5
Sarah Davis,1971-08-07,54,여,001-006-762-6765x8617,shannonlloyd@phillips.com,"USS Peterson, FPO AA 21591",paynerachael,2022-08-22,중형 세단,G80,False,2024-01-28,71510000,신용카드,2,온라인,2021-05,미국,1,2
Laura Moore,1997-02-04,28,남,001-062-962-0153x368,kenneth10@yahoo.com,"05061 Colon Road Suite 310, East Danielle, NJ 15640",kristen77,2025-01-20,준대형 세단,K5,False,2025-02-14,51060000,현금,5,오프라인,2020-01,미국,3,4
David Thomas,1970-06-13,55,여,+1-862-565-2704x7743,hernandezheather@gmail.com,"693 Mary Viaduct Suite 879, South Kent, VT 05052",davidtodd,2022-12-24,대형 SUV,Accent,False,2023-09-09,25810000,현금,1,오프라인,2019-03,미국,0,0
Michael Davis,1978-08-31,47,남,206.163.2945,hughesray@gates-stone.com,"62299 Sara Port Apt. 485, Bakerfort, PA 62504",jacksonrichard,2024-11-15,준중형 세단,Grandeur,False,2025-03-13,54470000,현금,3,온라인,2022-03,미국,3,3
Michael Thomas,1991-08-01,34,여,6530745054,megan13@gmail.com,"4691 Scott View Suite 785, New Laceyland, VT 66927",htaylor,2024-08-30,준중형 SUV,GV70,False,2024-09-10,71410000,신용카드,1,오프라인,2022-08,미국,1,1
John Smith,1976-01-26,49,남,303.070.5345,hreid@hotmail.com,"9727 Cooper Villages Suite 140, Williamsshire, IL 29513",ericaadams,2023-12-27,소형 해치백,K5,False,2025-01-28,52190000,계좌이체,5,오프라인,2020-01,미국,3,3
Daniel Thomas,1965-08-11,60,남,001-072-290-3494x46657,stevenbyrd@hotmail.com,"85899 Evans Coves, Brownview, MD 36792",diana43,2022-11-18,준중형 세단,Tucson,False,2025-01-29,41240000,계좌이체,4,온라인,2021-07,미국,3,3
Laura Anderson,1980-08-06,45,남,9652074466,aguilarwanda@gmail.com,"875 Bruce Ville, West Connor, WA 34403",staceylam,2025-01-10,중형 세단,GV70,False,2025-01-18,83960000,계좌이체,1,오프라인,2022-08,미국,1,2
Laura Moore,1979-05-16,46,남,(346)554-9471x709,gpreston@dillon.net,"23569 Thomas Wall, Port Christopher, SC 23677",cynthia07,2023-05-29,중형 SUV,Santa Fe,False,2023-11-07,49780000,현금,2,온라인,2020-10,미국,2,5
Emma Moore,1975-09-20,50,남,001-271-296-6667,johnsonjames@yahoo.com,"USNV Sherman, FPO AP 25480",rhodescourtney,2023-04-21,중형 SUV,NEXO,True,2023-10-13,60450000,신용카드,1,오프라인,2018-03,미국,1,2
Robert Davis,1987-09-05,38,여,216-894-2104x4789,ibarron@yahoo.com,"Unit 7532 Box 6033, DPO AP 17698",jessicalawrence,2022-12-18,준중형 해치백,Sportage,False,2023-06-27,35470000,신용카드,1,오프라인,2021-11,미국,2,5
Michael Wilson,1989-03-11,36,남,001-064-890-9010x016,qmartinez@yahoo.com,"046 Elaine Groves, South Maria, NY 94711",campbellkristen,2024-05-12,준중형 SUV,Tucson,False,2024-07-28,47480000,계좌이체,4,온라인,2021-07,미국,3,4
Sarah Smith,1977-11-02,48,남,001-483-564-2087x37530,meadowsmary@snyder.com,"3744 Williams Via, Port Benjamin, MN 89206",ronald11,2022-06-10,준중형 세단,i20,False,2022-06-25,21700000,계좌이체,1,오프라인,2020-05,미국,0,0
John Moore,1973-08-30,52,여,+1-255-794-1552x16674,pmarsh@gmail.com,"16979 White Light, Cherylberg, NM 15303",ealexander,2023-05-11,준대형 세단,Elantra,False,2024-09-30,41330000,현금,1,온라인,2020-08,미국,2,5
Michael Brown,1985-08-18,40,남,8993588916,rreed@cruz.org,"772 Karen Islands, West Tara, NY 29691",ppowell,2022-07-31,중형 세단,Venue,False,2024-07-13,24950000,현금,1,오프라인,2021-01,미국,0,0
Michael Brown,1994-06-22,31,남,001-717-751-7016,hawkinsaaron@gmail.com,"837 Cox Center Apt. 758, Moranstad, NV 15446",malonejeffrey,2023-09-12,대형 SUV,K5,False,2024-06-13,53770000,계좌이체,2,오프라인,2020-01,미국,1,1
Laura Anderson,1984-02-12,41,여,+1-851-027-2614,davidphelps@bryant.com,"91779 Tamara Avenue Apt. 869, Glassburgh, OR 23261",dalesandoval,2024-10-27,준중형 SUV,Kona,True,2024-12-28,42620000,현금,1,오프라인,2022-02,미국,2,5
John Moore,1998-07-20,27,남,(693)465-4722x6984,jamesweber@yahoo.com,"288 Page Trace, Annashire, TN 93578",icraig,2023-06-18,대형 SUV,Accent,False,2024-05-11,20600000,신용카드,1,오프라인,2019-03,미국,2,5
Daniel Wilson,1965-02-11,60,여,106.200.3424x42043,lisa19@stevenson.net,"066 Frye Spur Suite 800, Jamesmouth, IN 83572",kari89,2023-01-30,중형 세단,Grandeur,False,2023-11-26,57990000,현금,1,오프라인,2022-03,미국,1,2
Emma Taylor,1984-04-06,41,남,212.281.6064x842,adam72@hernandez.org,"9851 Fox Ferry Apt. 826, Davisbury, IL 87445",mark43,2024-11-15,중형 SUV,Elantra,False,2025-02-26,49600000,계좌이체,1,오프라인,2020-08,미국,0,0
Emily Davis,1996-07-23,29,여,+1-015-739-9305,cruzamber@yahoo.com,"877 Kenneth Run Apt. 581, East Teresaside, AL 82674",clarkcrystal,2023-02-25,소형 해치백,Tucson,False,2024-12-27,31580000,현금,3,온라인,2021-07,미국,2,5
Emily Anderson,1993-02-10,32,남,386-120-7501,thompsonjohnathan@andrews.com,"665 Perry Crest Apt. 919, Lake Melaniestad, CT 38490",catherine47,2023-11-13,소형 해치백,Santa Fe,False,2024-09-14,48540000,계좌이체,1,온라인,2020-10,미국,0,0
Laura Taylor,1966-05-06,59,남,283.268.4245x0882,smithcandice@kelley.com,"23943 Howard Union, Port Karenside, SD 72546",robertscarlos,2022-08-30,준대형 세단,Accent,False,2023-07-02,23540000,계좌이체,1,오프라인,2019-03,미국,0,0
David Taylor,1997-05-26,28,여,523-149-1357x75949,lindsey62@edwards.biz,"57775 Tucker Coves Apt. 914, New James, SC 10523",mcclainmelissa,2024-12-06,준중형 해치백,Ioniq 6,True,2024-12-12,87720000,계좌이체,1,온라인,2023-01,미국,1,1
